song,final_score,pillar1,pillar2,pillar3
Blinding Lights,0.743221832891304,1,0.810739442971012,0
Shape of You,0.498056130148357,0.485220696290575,0.851485940010233,0
Bohemian Rhapsody,0.445808519649311,0.635550078539116,0.426778267932512,0
Levitating,0.639330471351561,0.694389758157099,0.973785307576704,0
Starboy,0.700460408596435,0.907812546872512,0.821847117200596,0
bad guy,0.541377561373155,0.619676167596934,0.771798258582293,0
Watermelon Sugar,0.651889348816686,0.724307503207589,0.965785324042972,0
Smells Like Teen Spirit,0.679819021245644,0.795513348468246,0.940207823371736,0
As It Was,0.706546374831278,0.883544648360535,0.882580168836701,0
golden hour,0.328715872963127,0.348354742845852,0.515128338467339,0
Heat Waves,0.413527409293091,0.375505913819999,0.752581507943637,0
Shivers,0.693201363370998,0.793594878583444,0.988013080264252,0
Believer,0.684450964715456,0.784554460181037,0.973912448749791,0
Unstoppable,0.721130762538192,0.979316146240034,0.771575631393916,0
